zipcode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
15145,16.061,8.906,12.696,10.403,8.328,14.573,8.883,13.591,8.414,19.317,14.866,2.733,3.355,10.622,8.179,3.941,13.745,15.42,11.131,4.18,16.33,22.14,12.258,18.074,13.561,14.189,4.196,11.906,20.12,6.818,5.39,7.521,22.778,8.338,11.047,6.01,18.35,11.59,9.97,4.201,14.045,9.442,14.012,22.233,3.247,4.135,2.834
15146,17.235,11.113,14.903,12.311,10.497,16.465,10.971,15.608,10.257,20.81,14.169,4.776,3.914,12.123,8.073,1.727,13.876,13.879,13.211,5.761,18.003,23.679,14.372,18.727,14.598,15.486,3.496,13.238,20.309,7.959,7.108,5.951,24.069,7.849,11.933,7.863,20.423,13.773,8.702,6.386,15.643,11.593,16.21,24.056,5.463,5.365,3.939
15147,12.662,12.669,16.044,11.17,11.54,14.687,11.198,14.659,14.836,17.01,7.87,9.29,10.162,17.422,1.775,6.795,7.51,9.672,13.01,11.093,15.065,19.91,14.304,12.919,9.869,11.423,3.063,9.564,13.901,5.171,6.757,3.89,19.506,1.335,7.132,12.551,19.497,16.364,4.121,8.703,12.62,14.699,16.998,21.442,8.735,4.83,4.856
15148,17.293,9.321,13.077,11.324,8.906,15.484,9.615,14.383,7.871,20.445,15.992,2.56,2.063,9.786,9.417,3.927,15.029,16.183,11.853,3.38,17.381,23.244,12.917,19.373,14.824,15.395,5.23,13.108,21.414,8.087,6.501,8.243,23.97,9.496,12.334,5.483,19.051,11.624,10.864,4.82,15.141,9.385,14.442,23.175,3.665,5.413,4.136
15201,7.929,8.325,10.956,5.33,7.039,8.592,6.159,8.697,12.836,11.573,11.268,8.792,11.316,15.932,5.131,10.552,7.5,15.218,7.44,10.775,9.15,14.474,8.692,10.259,5.427,6.151,7.036,3.931,13.133,1.38,3.441,9.821,14.732,6.494,3.164,11.128,13.454,12.274,10.039,6.483,6.693,11.276,11.637,15.49,7.38,4.039,5.447
15202,1.984,11.278,11.917,6.42,10.202,5.823,8.831,7.41,17.319,5.179,13.749,14.635,17.497,20.497,10.317,17.058,8.423,19.347,8.298,16.478,3.979,8.087,8.932,6.55,2.51,0.42,13.437,2.611,10.865,7.89,9.269,15.726,8.264,11.69,4.782,16.214,10.483,14.681,15.122,11.912,2.477,14.683,11.806,10.017,13.064,10.497,11.922
15203,9.092,4.793,7.251,2.237,3.517,6.349,2.465,5.723,10.218,11.363,14.977,7.698,10.781,13.4,8.566,11.678,11.034,18.644,3.891,9.409,8.134,14.072,5.182,12.676,7.404,7,9.001,4.932,16.163,4.023,3.043,12.425,15.178,9.822,6.21,9.019,10.637,8.704,13.234,4.865,6.015,8.01,7.999,13.961,6.093,5.159,6.387
15204,5.364,8.162,8.481,3.372,7.227,2.849,5.851,4.048,14.44,6.489,15.858,12.604,15.691,17.582,11.003,16.201,10.835,20.815,4.932,14.265,3.256,9.16,5.494,9.966,5.223,3.523,13.017,3.166,14.19,7.308,7.693,15.943,10.457,12.413,6.152,13.636,7.875,11.34,15.978,9.761,1.238,11.542,8.38,9.422,10.999,9.475,10.859
15205,6.976,8.293,7.44,4.343,7.689,0.54,6.454,2.554,14.706,6.249,18.391,13.842,17.028,17.729,13.479,18.111,13.308,23.352,4.703,15.297,2.665,8.388,4.623,11.807,7.537,5.574,15.168,5.703,16.196,9.559,9.473,18.268,10.462,14.883,8.699,14.311,5.345,10.739,18.45,11.01,2.909,11.449,6.935,7.512,12.266,11.463,12.78
15206,9.765,8.783,11.881,6.79,7.555,10.401,6.994,10.283,12.336,13.556,10.663,7.639,9.814,15.302,3.847,8.606,7.816,13.871,8.671,9.649,11.134,16.461,9.962,11.567,7.128,8.084,5.038,5.907,13.932,0.794,2.989,7.935,16.625,5.048,4.529,10.375,15.138,12.666,8.464,5.818,8.68,11.334,12.741,17.457,6.434,2.427,3.708
